Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to LB Greenwich,GBP,122500,2015-05-01,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Rethinking Cities Ltd,GBP,1750,2015-05-12,Rethinking Cities Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Harrow,GBP,175000,2015-05-12,LB Harrow,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Greenwich,GBP,122500,2015-05-12,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Sustain - The Alliance for better food and farming,GBP,34000,2015-05-13,Sustain - The Alliance for better food and farming,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Great Britain Wheelchair Rugby Limited,GBP,40000,2015-05-13,Great Britain Wheelchair Rugby Limited,Greater London Authority,Communities and Intelligence,NA
Grant to LB Haringey,GBP,75000,2015-05-14,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Camden Town Unlimited,GBP,30000,2015-05-18,Camden Town Unlimited,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Poplar HARCA,GBP,283000,2015-05-20,Poplar HARCA,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Green Corridor,GBP,157500,2015-05-22,Green Corridor,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Croydon,GBP,58800,2015-05-27,LB Croydon,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Inmidtown,GBP,30000,2015-05-29,Inmidtown,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Edgware Road Partnership,GBP,30000,2015-05-29,Edgware Road Partnership,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Hackney,GBP,120000,2015-06-01,LB Hackney,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Enfield,GBP,175000,2015-06-02,LB Enfield,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Vision Redbridge Culture and Leisure,GBP,105000,2015-06-08,Vision Redbridge Culture and Leisure,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Turf Projects,GBP,15950,2015-06-08,Turf Projects,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to British Swimming,GBP,80000,2015-06-08,British Swimming,Greater London Authority,Communities and Intelligence,NA
Grant to Amateur Swimming Association,GBP,350000,2015-06-08,Amateur Swimming Association,Greater London Authority,Communities and Intelligence,NA
Grant to South London Makerspace,GBP,18150,2015-06-09,South London Makerspace,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to New West End Company,GBP,30000,2015-06-09,New West End Company,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Community Association of New Eltham,GBP,15500,2015-06-09,Community Association of New Eltham,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Create,GBP,15500,2015-06-10,Create London,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to London Wildlife Trust,GBP,50000,2015-06-11,London Wildlife Trust,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Groundwork London,GBP,105000,2015-06-11,Groundwork London,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Film London,GBP,2750000,2015-06-11,Film London,Greater London Authority,Communities and Intelligence,NA
Grant to LB Islington,GBP,262000,2015-06-16,LB Islington,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Centrepoint,GBP,20000,2015-06-16,Centrepoint,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Queens Park Community Council,GBP,20000,2015-06-19,Queens Park Community Council,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Bromley,GBP,20000,2015-06-19,LB Bromley,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Project Dirt,GBP,3000,2015-06-20,Project Dirt,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to The Community Brain,GBP,17000,2015-06-24,The Community Brain,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Haringey,GBP,300000,2015-06-26,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Do it trust,GBP,5100,2015-07-01,Do it trust,Greater London Authority,Communities and Intelligence,Speed Volunteering project
Grant to Green Corridor,GBP,157500,2015-07-02,Green Corridor,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Borough Market,GBP,5000,2015-07-02,Borough Market,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Plunkett Foundation,GBP,99697,2015-07-03,Plunkett Foundation,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Enfield,GBP,50000,2015-07-03,LB Enfield,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Enfield,GBP,20000,2015-07-07,LB Enfield,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Town Centre Team Beckenham,GBP,20000,2015-07-08,Town Centre Team Beckenham,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Wandsworth,GBP,20000,2015-07-08,LB Wandsworth,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Southwark,GBP,167500,2015-07-08,LB Southwark,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Southwark,GBP,510000,2015-07-10,LB Southwark,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Gnewt Cargo Ltd,GBP,399304,2015-07-13,Gnewt Cargo Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Thames 21,GBP,150000,2015-07-21,Thames 21,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Naked House,GBP,4500,2015-07-21,Naked House,Greater London Authority,Housing and Land,NA
Grant to LB Hammersmith and Fulham,GBP,85000,2015-07-21,LB Hammersmith and Fulham,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Brent,GBP,655000,2015-07-21,LB Brent,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Bexley,GBP,120000,2015-07-27,LB Bexley,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Ealing,GBP,35000,2015-08-04,LB Ealing,Greater London Authority,External Affairs,NA
Grant to LB Haringey,GBP,280560,2015-08-05,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Thames Festival Trust,GBP,50000,2015-08-10,Thames Festival Trust,Greater London Authority,External Affairs,NA
Grant to Homeless Link,GBP,50000,2015-08-11,Homeless Link,Greater London Authority,Housing and Land,NA
Grant to London Notting Hill Carnival Enterprises Trust,GBP,150000,2015-08-13,London Notting Hill Carnival Enterprises Trust,Greater London Authority,External Affairs,NA
Grant to LB Greenwich,GBP,150000,2015-08-25,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Bromley,GBP,125000,2015-08-25,LB Bromley,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Ealing,GBP,395000,2015-08-28,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Ealing,GBP,395000,2015-08-28,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Wise Thoughts,GBP,5000,2015-09-01,Wise Thoughts,Greater London Authority,Communities and intelligence,NA
Grant to Volunteer Centre Kensington and Chelsea,GBP,5000,2015-09-01,Volunteer Centre Kensington and Chelsea,Greater London Authority,Communities and Intelligence,NA
Grant to The Maypole Project,GBP,5000,2015-09-01,The Maypole Project,Greater London Authority,Communities and  Intelligence,NA
Grant to Sufra NW London,GBP,5000,2015-09-01,Sufra NW London,Greater London Authority,Communities and Intelligence,NA
Grant to Providence Row,GBP,5000,2015-09-01,Providence Row,Greater London Authority,Communities and Intelligence,NA
Grant to People Dancing,GBP,5000,2015-09-01,People Dancing,Greater London Authority,Communities and Intelligence,NA
Grant to Lean Content Limited,GBP,50000,2015-09-01,Lean Content Limited,Greater London Authority,Communities and Intelligence,NA
Grant to Haringey Mencap,GBP,5000,2015-09-01,Haringey Mencap,Greater London Authority,Communities and Intelligence,NA
Grant to GoodGym,GBP,5000,2015-09-01,GoodGym,Greater London Authority,Communities and Intelligence,NA
Grant to Delete Blood Cancer UK,GBP,5000,2015-09-01,Delete Blood Cancer UK,Greater London Authority,Communities and Intelligence,NA
Grant to Dean City Farm,GBP,5000,2015-09-01,Deen City Farm,Greater London Authority,Communities and Intelligence,NA
Grant to Cordwainers Grow,GBP,5000,2015-09-01,Cordwainers Grow,Greater London Authority,Communities and Intelligence,NA
Grant to Brixton People's Kitchen,GBP,5000,2015-09-01,Brixton People's Kitchen,Greater London Authority,Communities and Intelligence,NA
Grant to St Michael's Centre,GBP,54000,2015-09-02,St Michael's Centre,Greater London Authority,Housing and Land,NA
Grant to Kingsley Hall Church and Community Centre,GBP,150000,2015-09-02,Kingsley Hall Church and Community Centre,Greater London Authority,Housing and Land,NA
Grant to Create London,GBP,7500,2015-09-02,Create London,Greater London Authority,Communities and Intelligence,NA
Grant to Selby Trust,GBP,5000,2015-09-03,Selby Trust,Greater London Authority,Communities and Intelligence,NA
Grant to Worldwrite,GBP,5000,2015-09-04,Worldwrite,Greater London Authority,Communities and Intelligence,NA
Grant to Sutton Community Farm,GBP,10000,2015-09-05,Sutton Community Farm,Greater London Authority,Communities and Intelligence,NA
Grant to Artichoke Trust,GBP,500000,2015-09-07,Artichoke Trust,Greater London Authority,Communities and Intelligence,NA
Grant to LB Bexley,GBP,40000,2015-09-15,LB Bexley,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Barnet,GBP,269048,2015-09-15,LB Barnet,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Free the Children UK,GBP,830000,2015-09-18,Free the Children UK,Greater London Authority,Communities and Intelligence,NA
Grant to LB Waltham Forest,GBP,670000,2015-09-22,LB Waltham Forest,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Fashion Retail Academy,GBP,544246,2015-09-22,Fashion Retail Academy,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Bigga Fish,GBP,10000,2015-10-08,Bigga Fish,Greater London Authority,Communities and Intelligence,NA
Grant to The Maor and Burgesses of the LB of Waltham Forest,GBP,1293809,2015-10-09,The Maor and Burgesses of the LB of Waltham Forest,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Camden,GBP,150000,2015-10-09,LB Camden,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Livity,GBP,49891,2015-10-20,Livity Limited,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to City of Westminster College,GBP,3666668,2015-10-20,City of Westminster College,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Fitzrovia Partnership BID Ltd,GBP,10000,2015-10-22,The Fitzrovia Partnership BID Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Challenge Network,GBP,350000,2015-10-22,The Challenge Network,Greater London Authority,Communities and Intelligence,NA
Grant to Mullzimmer Ltd,GBP,12500,2015-10-23,Mullzimmer Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Barbican Centre Trust Ltd,GBP,500000,2015-10-27,The Barbican Centre Trust Ltd,Greater London Authority,Communities and Intelligence,NA
Grant to Sustainable Bridges CIC,GBP,18000,2015-10-29,Sustainable Bridges CIC,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Peckham Coal Line,GBP,10000,2015-10-31,Peckham Coal Line,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to West Thames College,GBP,912578,2015-11-03,West Thames College,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Good Food Catford,GBP,14000,2015-11-04,Good Food Catford,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Rosehill Traders Association,GBP,13000,2015-11-05,Rosehill Traders Association,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Tree Shepherd,GBP,14000,2015-11-11,Tree Shepherd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Rift Excursions Ltd,GBP,12500,2015-11-11,Rift Excursions Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Tower Hamlets,GBP,150000,2015-11-11,LB Tower Hamlets,Greater London Authority,Resources,NA
Grant to LB Haringey,GBP,2640000,2015-11-11,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Wood Street Walls,GBP,18000,2015-11-12,Wood Street Walls,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Conservation Foundation,GBP,1000,2015-11-12,The Conservation Foundation,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Woodland Trust,GBP,15000,2015-11-18,The Woodland Trust,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Community Brain,GBP,17000,2015-11-18,The Community Brain,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Greenwich,GBP,18000,2015-11-19,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Trees for Cities,GBP,50000,2015-11-22,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Barnet and Southgate College,GBP,6080438,2015-11-24,Barnet and Southgate College,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to South Thames College,GBP,472499,2015-11-27,South Thames College,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Akram Khan Company,GBP,50000,2015-11-30,Akram Khan Company,Greater London Authority,Communities and Intelligence,NA
Grant to Akram Khan Company,GBP,50000,2015-11-30,Akram Khan Company,Greater London Authority,Communities and Intelligence,NA
